x0,a,b,f_calls,x,y,f_calls,x,y,f_calls
-14.0207,-14.0207,-9.77072,3,-9.7709,0.00190941,43,nan,nan,3
-13.7551,-13.7551,-9.50512,3,-9.5053,0.00180701,43,nan,nan,3
-13.7147,-13.7147,-9.46471,3,-9.46489,0.00179168,43,nan,nan,3
-13.6931,-13.6931,-9.4431,3,-9.44328,0.00178351,43,nan,nan,3
-13.64,-13.64,-9.38998,3,-9.39016,0.0017635,43,nan,nan,3
-13.4333,-13.4333,-9.18328,3,-9.18347,0.00168672,43,nan,nan,3
-13.2752,-13.2752,-9.02521,3,-9.02539,0.00162915,43,nan,nan,3
-12.8651,-12.8651,-8.61505,3,-8.61524,0.00148445,43,nan,nan,3
-12.4909,-12.4909,-8.24085,3,-8.24104,0.00135829,43,nan,nan,3
-12.4092,-12.4092,-8.15922,3,-8.15941,0.00133152,43,nan,nan,3
-12.1504,-12.1504,-7.90037,3,-7.90055,0.00124837,43,nan,nan,3
-11.9042,-11.9042,-7.65421,3,-7.65439,0.00117179,43,nan,nan,3
-11.8896,-11.8896,-7.6396,3,-7.63978,0.00116732,43,nan,nan,3
-11.4804,-11.4804,-7.23041,3,-7.2306,0.00104563,43,nan,nan,3
-11.3113,-11.3113,-7.06126,3,-7.06144,0.000997279,43,nan,nan,3
-11.0493,-11.0493,-6.79925,3,-6.79944,0.000924647,43,nan,nan,3
-10.8126,-10.8126,-6.56257,3,-6.56275,0.000861394,43,nan,nan,3
-10.0718,-10.0718,-5.82184,3,-5.82203,0.00067792,43,nan,nan,3
-9.53408,-9.53408,-5.28408,3,-5.28426,0.000558469,43,nan,nan,3
-9.53196,-9.53196,-5.28196,3,-5.28214,0.000558021,43,nan,nan,3
-8.63327,-8.63327,-4.38327,3,-4.38345,0.000384293,43,nan,nan,3
-7.62065,-7.62065,-3.37065,3,-3.37083,0.00022725,43,nan,nan,3
-7.3807,-7.3807,-3.1307,3,-3.13088,0.000196048,43,nan,nan,3
-7.34681,-7.34681,-3.09681,3,-3.09699,0.000191827,43,nan,nan,3
-7.23252,-7.23252,-2.98252,3,-2.98271,0.000177931,43,nan,nan,3
-6.21714,-6.21714,-1.96714,3,-1.96732,7.74071e-05,43,nan,nan,3
-5.82467,-5.82467,-1.57467,3,-1.57485,4.96033e-05,43,nan,nan,3
-5.70964,-5.70964,-1.45964,3,-1.45982,4.26217e-05,43,nan,nan,3
-5.52981,-5.52981,-1.27981,3,-1.27999,3.27677e-05,43,nan,nan,3
-5.52571,-5.52571,-1.27571,3,-1.27589,3.2558e-05,43,nan,nan,3
-5.2661,-5.2661,-1.0161,3,-1.01629,2.06568e-05,43,nan,nan,3
-5.17905,-5.17905,-0.929046,3,-0.929229,1.72693e-05,43,nan,nan,3
-5.12536,-5.12536,-0.875359,3,-0.875542,1.53315e-05,43,nan,nan,3
-4.35798,-4.35798,-0.107982,3,-0.108165,2.33995e-07,43,nan,nan,3
-4.06694,-4.06694,0.183061,3,2.01266e-05,8.09445e-15,43,1.37563e-13,-7.15717e-18,5
-4.0223,-4.0223,0.227702,3,2.34706e-05,1.10103e-14,43,1.43213e-13,-7.15717e-18,5
-3.78846,-3.78846,0.461538,3,-5.18494e-05,5.376e-14,43,1.76544e-13,-7.15717e-18,5
-3.60999,-3.60999,0.640005,3,-0.000134662,3.62668e-13,43,2.06769e-13,-7.15717e-18,5
-3.00934,-3.00934,1.24066,3,-0.000116472,2.71305e-13,43,3.35505e-13,-7.15717e-18,5
-2.94992,-2.94992,1.30008,3,4.05241e-06,3.21283e-16,43,3.50423e-13,-7.15717e-18,5
-2.23612,-2.23612,2.01388,3,-3.04298e-05,1.85123e-14,43,5.39852e-13,-7.15717e-18,5
-2.01733,-6.26733,2.23267,3,-7.61465e-05,1.15959e-13,47,5.88756e-13,-7.15717e-18,6
-1.61326,-5.86326,2.63674,3,-2.62254e-05,1.37483e-14,47,6.71934e-13,-7.15717e-18,6
-1.47986,-5.72986,2.77014,3,-8.63875e-05,1.49249e-13,47,6.9565e-13,-7.15717e-18,6
-1.42097,-5.67097,2.82903,3,-5.40706e-06,5.77569e-16,47,7.04887e-13,-7.15717e-18,6
-1.12274,-5.37274,3.12726,3,-7.04115e-05,9.91483e-14,47,7.379e-13,-7.15717e-18,6
-1.06708,-5.31708,3.18292,3,-6.96208e-05,9.69339e-14,47,7.40515e-13,-7.15717e-18,6
-0.997076,-5.24708,3.25292,3,-1.90386e-05,7.24218e-15,47,7.41486e-13,-7.15717e-18,6
-0.922452,-5.17245,3.32755,3,3.28028e-05,2.15133e-14,47,7.39682e-13,-7.15717e-18,6
-0.777115,-5.02711,3.47289,3,7.85902e-06,1.22813e-15,47,7.25552e-13,-7.15717e-18,6
-0.216846,-4.46685,4.03315,3,-9.7442e-05,1.89892e-13,47,2.87796e-12,-7.15717e-18,5
-0.0290946,-4.27909,4.22091,3,-7.10931e-05,1.01077e-13,47,3.27638e-12,-7.15717e-18,5
0.302449,-3.94755,4.55245,3,-4.86571e-06,4.66345e-16,47,2.56203e-13,-7.15717e-18,6
0.592934,-3.65707,4.84293,3,-3.51853e-05,2.47529e-14,47,2.91277e-13,-7.15717e-18,6
0.615136,-3.63486,4.86514,3,-2.87749e-05,1.65528e-14,47,2.9409e-13,-7.15717e-18,6
1.17104,-3.07896,5.42104,3,-8.66032e-05,1.49995e-13,47,3.77418e-13,-7.15717e-18,6
1.57303,-2.67697,5.82303,3,-8.09055e-05,1.30907e-13,47,4.50543e-13,-7.15717e-18,6
2.30185,-1.94815,2.30185,4,-4.57529e-05,4.18593e-14,43,5.98084e-13,-7.15717e-18,5
2.41347,-1.83653,2.41347,4,-6.99495e-05,9.78514e-14,43,6.10922e-13,-7.15717e-18,5
2.56872,-1.68128,2.56872,4,-8.41006e-05,1.41451e-13,43,6.14533e-13,-7.15717e-18,5
2.76682,-1.48318,2.76682,4,-6.51904e-05,8.49887e-14,43,5.83823e-13,-7.15717e-18,5
3.0846,-1.1654,3.0846,4,-6.18536e-05,7.65101e-14,43,4.02697e-13,-7.15717e-18,5
3.31334,-0.936662,3.31334,4,-8.17614e-06,1.32983e-15,43,1.11576e-13,-7.15717e-18,5
3.38832,-0.861678,3.38832,4,-9.19348e-05,1.69033e-13,43,-2.5493e-14,-7.15717e-18,5
3.48412,-0.765875,3.48412,4,-7.22098e-05,1.04278e-13,43,-2.38193e-13,-7.15717e-18,5
5.03636,0.786364,5.03636,4,0.786456,1.23702e-05,43,nan,nan,3
5.13299,0.882993,5.13299,4,0.883085,1.55968e-05,43,nan,nan,3
5.22636,0.976364,5.22636,4,0.976456,1.90693e-05,43,nan,nan,3
5.40926,1.15926,5.40926,4,1.15935,2.68819e-05,43,nan,nan,3
5.71945,1.46945,5.71945,4,1.46954,4.3191e-05,43,nan,nan,3
5.9188,1.6688,5.9188,4,1.66889,5.57037e-05,43,nan,nan,3
5.97834,1.72834,5.97834,4,1.72844,5.97499e-05,43,nan,nan,3
6.05969,1.80969,6.05969,4,1.80978,6.5506e-05,43,nan,nan,3
6.72036,2.47036,6.72036,4,2.47045,0.000122063,43,nan,nan,3
6.85327,2.60327,6.85327,4,2.60336,0.000135549,43,nan,nan,3
7.08,2.83,7.08,4,2.83009,0.000160188,43,nan,nan,3
7.25931,3.00931,7.25931,4,3.0094,0.00018113,43,nan,nan,3
