x0,a,b,f_calls,x,y,f_calls,x,y,f_calls
17.2405,15.7105,17.2405,4,15.7106,0.00493647,39,16.4755,0.00542886,3
18.0141,16.4841,18.0141,4,16.4842,0.00543459,39,17.2491,0.00595065,3
18.0574,16.5274,18.0574,4,16.5275,0.00546319,39,17.2924,0.00598058,3
18.2511,16.7211,18.2511,4,16.7212,0.00559199,39,17.4861,0.0061153,3
19.5562,18.0262,19.5562,4,18.0263,0.00649894,39,18.7912,0.00706219,3
20.7447,19.2147,20.7447,4,19.2148,0.00738414,39,19.9797,0.00798375,3
22.5972,21.0672,22.5972,4,21.0673,0.00887661,39,21.8322,0.00953292,3
22.9939,21.4639,22.9939,4,21.464,0.00921406,39,22.2289,0.00988251,3
23.4793,21.9493,23.4793,4,21.9494,0.00963554,39,22.7143,0.0103189,3
24.9324,23.4024,24.9324,4,23.4025,0.0109536,39,24.1674,0.0116815,3
25.1206,23.5906,25.1206,4,23.5907,0.0111306,39,24.3556,0.0118642,3
25.5097,23.9797,25.5097,4,23.9797,0.0115008,39,24.7447,0.0122464,3
26.0942,24.5642,26.0942,4,24.5643,0.0120684,39,25.3292,0.012832,3
28.1663,26.6363,28.1663,4,26.6364,0.0141918,39,27.4013,0.0150199,3
28.2135,26.6835,28.2135,4,26.6835,0.0142421,39,27.4485,0.0150717,3
28.6703,27.1403,28.6703,4,27.1404,0.0147347,39,27.9053,0.0155789,3
30.6557,29.1257,30.6557,4,29.1258,0.0169776,39,29.8907,0.0178883,3
31.8538,30.3238,31.8538,4,30.3239,0.0184163,39,31.0888,0.0193723,3
32.1019,30.5719,32.1019,4,30.5719,0.018723,39,31.3369,0.0196892,3
33.7095,32.1795,33.7095,4,32.1796,0.0207934,39,32.9445,0.0218373,3
33.7509,32.2209,33.7509,4,32.221,0.0208488,39,32.9859,0.021895,3
33.8957,32.3657,33.8957,4,32.3658,0.0210436,39,33.1307,0.0220982,3
33.9316,32.4016,33.9316,4,32.4017,0.0210921,39,33.1666,0.0221489,3
34.2683,32.7383,34.2683,4,32.7384,0.0215517,39,33.5033,0.0226293,3
34.4058,32.8758,34.4058,4,32.8758,0.0217418,39,33.6408,0.0228283,3
34.9507,33.4207,34.9507,4,33.4208,0.0225106,39,34.1857,0.0236359,3
35.1377,33.6077,35.1377,4,33.6078,0.0227803,39,34.3727,0.0239202,3
35.5362,34.0062,35.5362,4,34.0063,0.0233665,39,34.7712,0.02454,3
35.9612,34.4312,35.9612,4,34.4313,0.0240102,39,35.1962,0.0252236,3
36.6725,35.1425,36.6725,4,35.1425,0.0251359,39,35.9075,0.0264271,3
37.7677,36.2377,37.7677,4,36.2378,0.027015,39,nan,nan,3
39.3394,37.8094,39.3394,4,37.8095,0.0301231,39,nan,nan,3
40.392,38.862,40.392,4,38.8621,0.0325564,39,nan,nan,3
40.4167,38.8867,40.4167,4,38.8868,0.0326173,39,nan,nan,3
40.5781,39.0481,40.5781,4,39.0481,0.0330201,39,nan,nan,3
40.5983,39.0683,40.5983,4,39.0684,0.0330713,39,nan,nan,3
40.8701,39.3401,40.8701,4,39.3402,0.0337697,39,nan,nan,3
41.2725,39.7425,41.2725,4,39.7426,0.0348454,39,nan,nan,3
42.0719,40.5419,42.0719,4,40.542,0.0371269,39,41.3069,0.0394675,3
