-48.9084,-48.1584,-47.4684,4,-47.4686,2253.26,37,nan,nan,3
-48.4801,-47.7301,-47.0401,4,-47.0402,2212.78,37,nan,nan,3
-48.1414,-47.3914,-46.7014,4,-46.7015,2181.03,37,nan,nan,3
-46.5879,-45.8379,-45.1479,4,-45.148,2038.34,37,nan,nan,3
-45.7787,-45.0287,-44.3387,4,-44.3388,1965.93,37,nan,nan,3
-45.2634,-44.5134,-43.8234,4,-43.8235,1920.5,37,nan,nan,3
-44.8407,-44.0907,-43.4007,4,-43.4008,1883.63,37,nan,nan,3
-43.5622,-42.8122,-42.1222,4,-42.1223,1774.29,37,nan,nan,3
-42.1206,-41.3706,-40.6806,4,-40.6807,1654.92,37,nan,nan,3
-41.8579,-41.1079,-40.4179,4,-40.418,1633.62,37,nan,nan,3
-41.6036,-40.8536,-40.1636,4,-40.1637,1613.13,37,nan,nan,3
-40.7739,-40.0239,-39.3339,4,-39.334,1547.16,37,nan,nan,3
-40.4613,-39.7113,-39.0213,4,-39.0214,1522.67,37,nan,nan,3
-39.87,-39.12,-38.43,4,-38.4301,1476.87,37,nan,nan,3
-39.5917,-38.8417,-38.1517,4,-38.1518,1455.56,37,nan,nan,3
-39.2254,-38.4754,-37.7854,4,-37.7855,1427.75,37,nan,nan,3
-37.2705,-36.5205,-35.8305,4,-35.8306,1283.83,37,nan,nan,3
-37.1376,-36.3876,-35.6976,4,-35.6978,1274.33,37,nan,nan,3
-36.9424,-36.1924,-35.5024,4,-35.5026,1260.43,37,nan,nan,3
-36.0033,-35.2533,-34.5633,4,-34.5634,1194.63,37,nan,nan,3
-34.0079,-33.2579,-32.5679,4,-32.568,1060.67,37,nan,nan,3
-32.6357,-31.8857,-31.1957,4,-31.1958,973.178,37,nan,nan,3
-32.3776,-31.6276,-30.9376,4,-30.9377,957.143,37,nan,nan,3
-32.1898,-31.4398,-30.7498,4,-30.7499,945.559,37,nan,nan,3
-30.3284,-29.5784,-28.8884,4,-28.8885,834.545,37,nan,nan,3
-30.3014,-29.5514,-28.8614,4,-28.8615,832.986,37,nan,nan,3
-30.208,-29.458,-28.768,4,-28.7681,827.603,37,nan,nan,3
-29.3874,-28.6374,-27.9474,4,-27.9475,781.063,37,nan,nan,3
-28.8393,-28.0893,-27.3993,4,-27.3994,750.727,37,nan,nan,3
-28.2739,-27.5239,-26.8339,4,-26.8341,720.067,37,nan,nan,3
-27.5069,-26.7569,-26.0669,4,-26.067,679.489,37,nan,nan,3
-24.7053,-23.9553,-23.2653,4,-23.2654,541.279,37,nan,nan,3
-22.1222,-21.3722,-20.6822,4,-20.6823,427.758,37,nan,nan,3
-21.9188,-21.1688,-20.4788,4,-20.4789,419.386,37,nan,nan,3
-17.2334,-16.4834,-15.7934,4,-15.7935,249.436,37,nan,nan,3
-16.5843,-15.8343,-15.1443,4,-15.1444,229.352,37,nan,nan,3
-15.9389,-15.1889,-14.4989,4,-14.499,210.221,37,nan,nan,3
-13.9894,-13.2394,-12.5494,4,-12.5495,157.49,37,nan,nan,3
-12.483,-11.733,-11.043,4,-11.0431,121.95,37,nan,nan,3
-11.6148,-10.8648,-10.1748,4,-10.1749,103.529,37,nan,nan,3
-10.61,-9.85998,-9.16998,4,-9.1701,84.0908,37,nan,nan,3
-10.4926,-9.7426,-9.0526,4,-9.05273,81.9518,37,nan,nan,3
-9.7097,-8.9597,-8.2697,4,-8.26983,68.3901,37,nan,nan,3
-9.12006,-8.37006,-7.68006,4,-7.68019,58.9853,37,nan,nan,3
-8.43131,-7.68131,-6.99131,4,-6.99144,48.8802,37,nan,nan,3
-8.31564,-7.56564,-6.87564,4,-6.87577,47.2762,37,nan,nan,3
-7.06732,-6.31732,-5.62732,4,-5.62744,31.6681,37,nan,nan,3
-6.91173,-6.16173,-5.47173,4,-5.47186,29.9413,37,nan,nan,3
-5.79701,-5.04701,-4.35701,4,-4.35713,18.9846,37,nan,nan,3
-5.11882,-4.36882,-3.67882,4,-3.67895,13.5346,37,nan,nan,3
-5.0187,-4.2687,-3.5787,4,-3.57883,12.808,37,nan,nan,3
-4.23209,-3.48209,-2.79209,4,-2.79221,7.79645,37,nan,nan,3
-3.26238,-2.51238,-1.82238,4,-1.82251,3.32154,37,nan,nan,3
-1.17283,-0.422826,0.267174,4,2.39294e-05,5.72616e-10,37,-1.60686e-34,2.58201e-68,6
0.0978233,-0.652177,0.847823,1007,-3.96189e-05,1.56966e-09,39,8.68016e-34,7.53451e-67,6
2.87898,1.43898,2.12898,5,1.43905,2.07085,37,nan,nan,3
9.22673,7.78673,8.47673,5,7.78679,60.6341,37,nan,nan,3
9.6762,8.2362,8.9262,5,8.23626,67.836,37,nan,nan,3
10.5403,9.10026,9.79026,5,9.10033,82.8159,37,nan,nan,3
11.4446,10.0046,10.6946,5,10.0047,100.094,37,nan,nan,3
11.9297,10.4897,11.1797,5,10.4897,110.035,37,nan,nan,3
13.8909,12.4509,13.1409,5,12.451,155.027,37,nan,nan,3
15.8246,14.3846,15.0746,5,14.3846,206.917,37,nan,nan,3
17.7412,16.3012,16.9912,5,16.3013,265.731,37,nan,nan,3
19.0085,17.5685,18.2585,5,17.5686,308.654,37,nan,nan,3
20.0898,18.6498,19.3398,5,18.6499,347.818,37,nan,nan,3
21.093,19.653,20.343,5,19.6531,386.243,37,nan,nan,3
21.7029,20.2629,20.9529,5,20.2629,410.586,37,nan,nan,3
23.1558,21.7158,22.4058,5,21.7158,471.577,37,nan,nan,3
23.7948,22.3548,23.0448,5,22.3549,499.741,37,nan,nan,3
